DATE,SP500
07/10/08,1253.39
07/11/08,1239.49
07/14/08,1228.3
07/15/08,1214.91
07/16/08,1245.36
07/17/08,1260.32
07/18/08,1260.68
07/21/08,1260
07/22/08,1277
07/23/08,1282.19
07/24/08,1252.54
07/25/08,1257.76
07/28/08,1234.37
07/29/08,1263.2
07/30/08,1284.26
07/31/08,1267.38
08/01/08,1260.31
08/04/08,1249.01
08/05/08,1284.88
08/06/08,1289.19
08/07/08,1266.07
08/08/08,1296.32
08/11/08,1305.32
08/12/08,1289.59
08/13/08,1285.83
08/14/08,1292.93
08/15/08,1298.2
08/18/08,1278.6
08/19/08,1266.69
08/20/08,1274.54
08/21/08,1277.72
08/22/08,1292.2
08/25/08,1266.84
08/26/08,1271.51
08/27/08,1281.66
08/28/08,1300.68
08/29/08,1282.83
09/01/08,0
09/02/08,1277.58
09/03/08,1274.98
09/04/08,1236.83
09/05/08,1242.31
09/08/08,1267.79
09/09/08,1224.51
09/10/08,1232.04
09/11/08,1249.05
09/12/08,1251.7
09/15/08,1192.7
09/16/08,1213.59
09/17/08,1156.39
09/18/08,1206.51
09/19/08,1255.08
09/22/08,1207.09
09/23/08,1188.22
09/24/08,1185.87
09/25/08,1209.18
09/26/08,1213.01
09/29/08,1106.39
09/30/08,1166.36
10/01/08,1161.06
10/02/08,1114.28
10/03/08,1099.23
10/06/08,1056.89
10/07/08,996.23
10/08/08,984.94
10/09/08,909.92
10/10/08,899.22
10/13/08,1003.35
10/14/08,998.01
10/15/08,907.84
10/16/08,946.43
10/17/08,940.55
10/20/08,985.4
10/21/08,955.05
10/22/08,896.78
10/23/08,908.11
10/24/08,876.77
10/27/08,848.92
10/28/08,940.51
10/29/08,930.09
10/30/08,954.09
10/31/08,968.75
11/03/08,966.3
11/04/08,1005.75
11/05/08,952.77
11/06/08,904.88
11/07/08,930.99
11/10/08,919.21
11/11/08,898.95
11/12/08,852.3
11/13/08,911.29
11/14/08,873.29
11/17/08,850.75
11/18/08,859.12
